state;action;action_parameters;result;next_state
"{""on(p2, t)"": ""false"", ""clear(p2)"": ""false"", ""robot-empty"": ""false"", ""holding(p2)"": ""true"", ""holding(p5)"": ""false"", ""clear(p4)"": ""false"", ""clear(p5)"": ""true"", ""on(p5, p4)"": ""true"", ""on(p5, t)"": ""false"", ""on(p1, t)"": ""true"", ""on(p3, t)"": ""true"", ""on(p4, t)"": ""true"", ""clear(p1)"": ""true"", ""clear(p3)"": ""true"", ""on(p1, p1)"": ""false"", ""on(p2, p1)"": ""false"", ""on(p3, p1)"": ""false"", ""on(p4, p1)"": ""false"", ""on(p5, p1)"": ""false"", ""on(p1, p2)"": ""false"", ""on(p2, p2)"": ""false"", ""on(p3, p2)"": ""false"", ""on(p4, p2)"": ""false"", ""on(p5, p2)"": ""false"", ""on(p1, p3)"": ""false"", ""on(p2, p3)"": ""false"", ""on(p3, p3)"": ""false"", ""on(p4, p3)"": ""false"", ""on(p5, p3)"": ""false"", ""on(p1, p4)"": ""false"", ""on(p2, p4)"": ""false"", ""on(p3, p4)"": ""false"", ""on(p4, p4)"": ""false"", ""on(p1, p5)"": ""false"", ""on(p2, p5)"": ""false"", ""on(p3, p5)"": ""false"", ""on(p4, p5)"": ""false"", ""on(p5, p5)"": ""false"", ""holding(p1)"": ""false"", ""holding(p3)"": ""false"", ""holding(p4)"": ""false""}";put-down;"[""p5"", ""t""]";False;None
"{""on(p2, t)"": ""false"", ""clear(p2)"": ""false"", ""robot-empty"": ""false"", ""holding(p2)"": ""true"", ""holding(p5)"": ""false"", ""clear(p4)"": ""false"", ""clear(p5)"": ""true"", ""on(p5, p4)"": ""true"", ""on(p5, t)"": ""false"", ""on(p1, t)"": ""true"", ""on(p3, t)"": ""true"", ""on(p4, t)"": ""true"", ""clear(p1)"": ""true"", ""clear(p3)"": ""true"", ""on(p1, p1)"": ""false"", ""on(p2, p1)"": ""false"", ""on(p3, p1)"": ""false"", ""on(p4, p1)"": ""false"", ""on(p5, p1)"": ""false"", ""on(p1, p2)"": ""false"", ""on(p2, p2)"": ""false"", ""on(p3, p2)"": ""false"", ""on(p4, p2)"": ""false"", ""on(p5, p2)"": ""false"", ""on(p1, p3)"": ""false"", ""on(p2, p3)"": ""false"", ""on(p3, p3)"": ""false"", ""on(p4, p3)"": ""false"", ""on(p5, p3)"": ""false"", ""on(p1, p4)"": ""false"", ""on(p2, p4)"": ""false"", ""on(p3, p4)"": ""false"", ""on(p4, p4)"": ""false"", ""on(p1, p5)"": ""false"", ""on(p2, p5)"": ""false"", ""on(p3, p5)"": ""false"", ""on(p4, p5)"": ""false"", ""on(p5, p5)"": ""false"", ""holding(p1)"": ""false"", ""holding(p3)"": ""false"", ""holding(p4)"": ""false""}";unstack;"[""p5"", ""p3""]";False;None
"{""holding(p2)"": ""false"", ""clear(p1)"": ""false"", ""clear(p2)"": ""true"", ""robot-empty"": ""true"", ""on(p2, p1)"": ""true"", ""on(p2, t)"": ""false"", ""holding(p5)"": ""false"", ""clear(p4)"": ""false"", ""clear(p5)"": ""true"", ""on(p5, p4)"": ""true"", ""on(p5, t)"": ""false"", ""on(p1, t)"": ""true"", ""on(p3, t)"": ""true"", ""on(p4, t)"": ""true"", ""clear(p3)"": ""true"", ""on(p1, p1)"": ""false"", ""on(p3, p1)"": ""false"", ""on(p4, p1)"": ""false"", ""on(p5, p1)"": ""false"", ""on(p1, p2)"": ""false"", ""on(p2, p2)"": ""false"", ""on(p3, p2)"": ""false"", ""on(p4, p2)"": ""false"", ""on(p5, p2)"": ""false"", ""on(p1, p3)"": ""false"", ""on(p2, p3)"": ""false"", ""on(p3, p3)"": ""false"", ""on(p4, p3)"": ""false"", ""on(p5, p3)"": ""false"", ""on(p1, p4)"": ""false"", ""on(p2, p4)"": ""false"", ""on(p3, p4)"": ""false"", ""on(p4, p4)"": ""false"", ""on(p1, p5)"": ""false"", ""on(p2, p5)"": ""false"", ""on(p3, p5)"": ""false"", ""on(p4, p5)"": ""false"", ""on(p5, p5)"": ""false"", ""holding(p1)"": ""false"", ""holding(p3)"": ""false"", ""holding(p4)"": ""false""}";pick-up;"[""p3"", ""t""]";True;"{""on(p3, t)"": ""false"", ""clear(p3)"": ""false"", ""robot-empty"": ""false"", ""holding(p3)"": ""true"", ""holding(p2)"": ""false"", ""clear(p1)"": ""false"", ""clear(p2)"": ""true"", ""on(p2, p1)"": ""true"", ""on(p2, t)"": ""false"", ""holding(p5)"": ""false"", ""clear(p4)"": ""false"", ""clear(p5)"": ""true"", ""on(p5, p4)"": ""true"", ""on(p5, t)"": ""false"", ""on(p1, t)"": ""true"", ""on(p4, t)"": ""true"", ""on(p1, p1)"": ""false"", ""on(p3, p1)"": ""false"", ""on(p4, p1)"": ""false"", ""on(p5, p1)"": ""false"", ""on(p1, p2)"": ""false"", ""on(p2, p2)"": ""false"", ""on(p3, p2)"": ""false"", ""on(p4, p2)"": ""false"", ""on(p5, p2)"": ""false"", ""on(p1, p3)"": ""false"", ""on(p2, p3)"": ""false"", ""on(p3, p3)"": ""false"", ""on(p4, p3)"": ""false"", ""on(p5, p3)"": ""false"", ""on(p1, p4)"": ""false"", ""on(p2, p4)"": ""false"", ""on(p3, p4)"": ""false"", ""on(p4, p4)"": ""false"", ""on(p1, p5)"": ""false"", ""on(p2, p5)"": ""false"", ""on(p3, p5)"": ""false"", ""on(p4, p5)"": ""false"", ""on(p5, p5)"": ""false"", ""holding(p1)"": ""false"", ""holding(p4)"": ""false""}"
"{""holding(p2)"": ""false"", ""clear(p1)"": ""false"", ""clear(p2)"": ""true"", ""robot-empty"": ""true"", ""on(p2, p1)"": ""true"", ""on(p2, t)"": ""false"", ""holding(p5)"": ""false"", ""clear(p4)"": ""false"", ""clear(p5)"": ""true"", ""on(p5, p4)"": ""true"", ""on(p5, t)"": ""false"", ""on(p1, t)"": ""true"", ""on(p3, t)"": ""true"", ""on(p4, t)"": ""true"", ""clear(p3)"": ""true"", ""on(p1, p1)"": ""false"", ""on(p3, p1)"": ""false"", ""on(p4, p1)"": ""false"", ""on(p5, p1)"": ""false"", ""on(p1, p2)"": ""false"", ""on(p2, p2)"": ""false"", ""on(p3, p2)"": ""false"", ""on(p4, p2)"": ""false"", ""on(p5, p2)"": ""false"", ""on(p1, p3)"": ""false"", ""on(p2, p3)"": ""false"", ""on(p3, p3)"": ""false"", ""on(p4, p3)"": ""false"", ""on(p5, p3)"": ""false"", ""on(p1, p4)"": ""false"", ""on(p2, p4)"": ""false"", ""on(p3, p4)"": ""false"", ""on(p4, p4)"": ""false"", ""on(p1, p5)"": ""false"", ""on(p2, p5)"": ""false"", ""on(p3, p5)"": ""false"", ""on(p4, p5)"": ""false"", ""on(p5, p5)"": ""false"", ""holding(p1)"": ""false"", ""holding(p3)"": ""false"", ""holding(p4)"": ""false""}";unstack;"[""p3"", ""p5""]";False;None
"{""holding(p2)"": ""false"", ""clear(p1)"": ""false"", ""clear(p2)"": ""true"", ""robot-empty"": ""true"", ""on(p2, p1)"": ""true"", ""on(p2, t)"": ""false"", ""holding(p5)"": ""false"", ""clear(p4)"": ""false"", ""clear(p5)"": ""true"", ""on(p5, p4)"": ""true"", ""on(p5, t)"": ""false"", ""on(p1, t)"": ""true"", ""on(p3, t)"": ""true"", ""on(p4, t)"": ""true"", ""clear(p3)"": ""true"", ""on(p1, p1)"": ""false"", ""on(p3, p1)"": ""false"", ""on(p4, p1)"": ""false"", ""on(p5, p1)"": ""false"", ""on(p1, p2)"": ""false"", ""on(p2, p2)"": ""false"", ""on(p3, p2)"": ""false"", ""on(p4, p2)"": ""false"", ""on(p5, p2)"": ""false"", ""on(p1, p3)"": ""false"", ""on(p2, p3)"": ""false"", ""on(p3, p3)"": ""false"", ""on(p4, p3)"": ""false"", ""on(p5, p3)"": ""false"", ""on(p1, p4)"": ""false"", ""on(p2, p4)"": ""false"", ""on(p3, p4)"": ""false"", ""on(p4, p4)"": ""false"", ""on(p1, p5)"": ""false"", ""on(p2, p5)"": ""false"", ""on(p3, p5)"": ""false"", ""on(p4, p5)"": ""false"", ""on(p5, p5)"": ""false"", ""holding(p1)"": ""false"", ""holding(p3)"": ""false"", ""holding(p4)"": ""false""}";unstack;"[""p4"", ""p2""]";False;None
"{""on(p3, t)"": ""false"", ""clear(p3)"": ""false"", ""robot-empty"": ""false"", ""holding(p3)"": ""true"", ""holding(p2)"": ""false"", ""clear(p1)"": ""false"", ""clear(p2)"": ""true"", ""on(p2, p1)"": ""true"", ""on(p2, t)"": ""false"", ""holding(p5)"": ""false"", ""clear(p4)"": ""false"", ""clear(p5)"": ""true"", ""on(p5, p4)"": ""true"", ""on(p5, t)"": ""false"", ""on(p1, t)"": ""true"", ""on(p4, t)"": ""true"", ""on(p1, p1)"": ""false"", ""on(p3, p1)"": ""false"", ""on(p4, p1)"": ""false"", ""on(p5, p1)"": ""false"", ""on(p1, p2)"": ""false"", ""on(p2, p2)"": ""false"", ""on(p3, p2)"": ""false"", ""on(p4, p2)"": ""false"", ""on(p5, p2)"": ""false"", ""on(p1, p3)"": ""false"", ""on(p2, p3)"": ""false"", ""on(p3, p3)"": ""false"", ""on(p4, p3)"": ""false"", ""on(p5, p3)"": ""false"", ""on(p1, p4)"": ""false"", ""on(p2, p4)"": ""false"", ""on(p3, p4)"": ""false"", ""on(p4, p4)"": ""false"", ""on(p1, p5)"": ""false"", ""on(p2, p5)"": ""false"", ""on(p3, p5)"": ""false"", ""on(p4, p5)"": ""false"", ""on(p5, p5)"": ""false"", ""holding(p1)"": ""false"", ""holding(p4)"": ""false""}";stack;"[""p3"", ""p2""]";True;"{""holding(p3)"": ""false"", ""clear(p2)"": ""false"", ""clear(p3)"": ""true"", ""robot-empty"": ""true"", ""on(p3, p2)"": ""true"", ""on(p3, t)"": ""false"", ""holding(p2)"": ""false"", ""clear(p1)"": ""false"", ""on(p2, p1)"": ""true"", ""on(p2, t)"": ""false"", ""holding(p5)"": ""false"", ""clear(p4)"": ""false"", ""clear(p5)"": ""true"", ""on(p5, p4)"": ""true"", ""on(p5, t)"": ""false"", ""on(p1, t)"": ""true"", ""on(p4, t)"": ""true"", ""on(p1, p1)"": ""false"", ""on(p3, p1)"": ""false"", ""on(p4, p1)"": ""false"", ""on(p5, p1)"": ""false"", ""on(p1, p2)"": ""false"", ""on(p2, p2)"": ""false"", ""on(p4, p2)"": ""false"", ""on(p5, p2)"": ""false"", ""on(p1, p3)"": ""false"", ""on(p2, p3)"": ""false"", ""on(p3, p3)"": ""false"", ""on(p4, p3)"": ""false"", ""on(p5, p3)"": ""false"", ""on(p1, p4)"": ""false"", ""on(p2, p4)"": ""false"", ""on(p3, p4)"": ""false"", ""on(p4, p4)"": ""false"", ""on(p1, p5)"": ""false"", ""on(p2, p5)"": ""false"", ""on(p3, p5)"": ""false"", ""on(p4, p5)"": ""false"", ""on(p5, p5)"": ""false"", ""holding(p1)"": ""false"", ""holding(p4)"": ""false""}"
"{""on(p3, t)"": ""false"", ""clear(p3)"": ""false"", ""robot-empty"": ""false"", ""holding(p3)"": ""true"", ""holding(p2)"": ""false"", ""clear(p1)"": ""false"", ""clear(p2)"": ""true"", ""on(p2, p1)"": ""true"", ""on(p2, t)"": ""false"", ""holding(p5)"": ""false"", ""clear(p4)"": ""false"", ""clear(p5)"": ""true"", ""on(p5, p4)"": ""true"", ""on(p5, t)"": ""false"", ""on(p1, t)"": ""true"", ""on(p4, t)"": ""true"", ""on(p1, p1)"": ""false"", ""on(p3, p1)"": ""false"", ""on(p4, p1)"": ""false"", ""on(p5, p1)"": ""false"", ""on(p1, p2)"": ""false"", ""on(p2, p2)"": ""false"", ""on(p3, p2)"": ""false"", ""on(p4, p2)"": ""false"", ""on(p5, p2)"": ""false"", ""on(p1, p3)"": ""false"", ""on(p2, p3)"": ""false"", ""on(p3, p3)"": ""false"", ""on(p4, p3)"": ""false"", ""on(p5, p3)"": ""false"", ""on(p1, p4)"": ""false"", ""on(p2, p4)"": ""false"", ""on(p3, p4)"": ""false"", ""on(p4, p4)"": ""false"", ""on(p1, p5)"": ""false"", ""on(p2, p5)"": ""false"", ""on(p3, p5)"": ""false"", ""on(p4, p5)"": ""false"", ""on(p5, p5)"": ""false"", ""holding(p1)"": ""false"", ""holding(p4)"": ""false""}";put-down;"[""p2"", ""t""]";False;None
"{""on(p3, t)"": ""false"", ""clear(p3)"": ""false"", ""robot-empty"": ""false"", ""holding(p3)"": ""true"", ""holding(p2)"": ""false"", ""clear(p1)"": ""false"", ""clear(p2)"": ""true"", ""on(p2, p1)"": ""true"", ""on(p2, t)"": ""false"", ""holding(p5)"": ""false"", ""clear(p4)"": ""false"", ""clear(p5)"": ""true"", ""on(p5, p4)"": ""true"", ""on(p5, t)"": ""false"", ""on(p1, t)"": ""true"", ""on(p4, t)"": ""true"", ""on(p1, p1)"": ""false"", ""on(p3, p1)"": ""false"", ""on(p4, p1)"": ""false"", ""on(p5, p1)"": ""false"", ""on(p1, p2)"": ""false"", ""on(p2, p2)"": ""false"", ""on(p3, p2)"": ""false"", ""on(p4, p2)"": ""false"", ""on(p5, p2)"": ""false"", ""on(p1, p3)"": ""false"", ""on(p2, p3)"": ""false"", ""on(p3, p3)"": ""false"", ""on(p4, p3)"": ""false"", ""on(p5, p3)"": ""false"", ""on(p1, p4)"": ""false"", ""on(p2, p4)"": ""false"", ""on(p3, p4)"": ""false"", ""on(p4, p4)"": ""false"", ""on(p1, p5)"": ""false"", ""on(p2, p5)"": ""false"", ""on(p3, p5)"": ""false"", ""on(p4, p5)"": ""false"", ""on(p5, p5)"": ""false"", ""holding(p1)"": ""false"", ""holding(p4)"": ""false""}";unstack;"[""p4"", ""p1""]";False;None
"{""holding(p3)"": ""false"", ""clear(p2)"": ""false"", ""clear(p3)"": ""true"", ""robot-empty"": ""true"", ""on(p3, p2)"": ""true"", ""on(p3, t)"": ""false"", ""holding(p2)"": ""false"", ""clear(p1)"": ""false"", ""on(p2, p1)"": ""true"", ""on(p2, t)"": ""false"", ""holding(p5)"": ""false"", ""clear(p4)"": ""false"", ""clear(p5)"": ""true"", ""on(p5, p4)"": ""true"", ""on(p5, t)"": ""false"", ""on(p1, t)"": ""true"", ""on(p4, t)"": ""true"", ""on(p1, p1)"": ""false"", ""on(p3, p1)"": ""false"", ""on(p4, p1)"": ""false"", ""on(p5, p1)"": ""false"", ""on(p1, p2)"": ""false"", ""on(p2, p2)"": ""false"", ""on(p4, p2)"": ""false"", ""on(p5, p2)"": ""false"", ""on(p1, p3)"": ""false"", ""on(p2, p3)"": ""false"", ""on(p3, p3)"": ""false"", ""on(p4, p3)"": ""false"", ""on(p5, p3)"": ""false"", ""on(p1, p4)"": ""false"", ""on(p2, p4)"": ""false"", ""on(p3, p4)"": ""false"", ""on(p4, p4)"": ""false"", ""on(p1, p5)"": ""false"", ""on(p2, p5)"": ""false"", ""on(p3, p5)"": ""false"", ""on(p4, p5)"": ""false"", ""on(p5, p5)"": ""false"", ""holding(p1)"": ""false"", ""holding(p4)"": ""false""}";unstack;"[""p5"", ""p4""]";True;"{""holding(p5)"": ""true"", ""clear(p4)"": ""true"", ""clear(p5)"": ""false"", ""robot-empty"": ""false"", ""on(p5, p4)"": ""false"", ""holding(p3)"": ""false"", ""clear(p2)"": ""false"", ""clear(p3)"": ""true"", ""on(p3, p2)"": ""true"", ""on(p3, t)"": ""false"", ""holding(p2)"": ""false"", ""clear(p1)"": ""false"", ""on(p2, p1)"": ""true"", ""on(p2, t)"": ""false"", ""on(p5, t)"": ""false"", ""on(p1, t)"": ""true"", ""on(p4, t)"": ""true"", ""on(p1, p1)"": ""false"", ""on(p3, p1)"": ""false"", ""on(p4, p1)"": ""false"", ""on(p5, p1)"": ""false"", ""on(p1, p2)"": ""false"", ""on(p2, p2)"": ""false"", ""on(p4, p2)"": ""false"", ""on(p5, p2)"": ""false"", ""on(p1, p3)"": ""false"", ""on(p2, p3)"": ""false"", ""on(p3, p3)"": ""false"", ""on(p4, p3)"": ""false"", ""on(p5, p3)"": ""false"", ""on(p1, p4)"": ""false"", ""on(p2, p4)"": ""false"", ""on(p3, p4)"": ""false"", ""on(p4, p4)"": ""false"", ""on(p1, p5)"": ""false"", ""on(p2, p5)"": ""false"", ""on(p3, p5)"": ""false"", ""on(p4, p5)"": ""false"", ""on(p5, p5)"": ""false"", ""holding(p1)"": ""false"", ""holding(p4)"": ""false""}"
"{""holding(p3)"": ""false"", ""clear(p2)"": ""false"", ""clear(p3)"": ""true"", ""robot-empty"": ""true"", ""on(p3, p2)"": ""true"", ""on(p3, t)"": ""false"", ""holding(p2)"": ""false"", ""clear(p1)"": ""false"", ""on(p2, p1)"": ""true"", ""on(p2, t)"": ""false"", ""holding(p5)"": ""false"", ""clear(p4)"": ""false"", ""clear(p5)"": ""true"", ""on(p5, p4)"": ""true"", ""on(p5, t)"": ""false"", ""on(p1, t)"": ""true"", ""on(p4, t)"": ""true"", ""on(p1, p1)"": ""false"", ""on(p3, p1)"": ""false"", ""on(p4, p1)"": ""false"", ""on(p5, p1)"": ""false"", ""on(p1, p2)"": ""false"", ""on(p2, p2)"": ""false"", ""on(p4, p2)"": ""false"", ""on(p5, p2)"": ""false"", ""on(p1, p3)"": ""false"", ""on(p2, p3)"": ""false"", ""on(p3, p3)"": ""false"", ""on(p4, p3)"": ""false"", ""on(p5, p3)"": ""false"", ""on(p1, p4)"": ""false"", ""on(p2, p4)"": ""false"", ""on(p3, p4)"": ""false"", ""on(p4, p4)"": ""false"", ""on(p1, p5)"": ""false"", ""on(p2, p5)"": ""false"", ""on(p3, p5)"": ""false"", ""on(p4, p5)"": ""false"", ""on(p5, p5)"": ""false"", ""holding(p1)"": ""false"", ""holding(p4)"": ""false""}";stack;"[""p3"", ""p1""]";False;None
"{""holding(p3)"": ""false"", ""clear(p2)"": ""false"", ""clear(p3)"": ""true"", ""robot-empty"": ""true"", ""on(p3, p2)"": ""true"", ""on(p3, t)"": ""false"", ""holding(p2)"": ""false"", ""clear(p1)"": ""false"", ""on(p2, p1)"": ""true"", ""on(p2, t)"": ""false"", ""holding(p5)"": ""false"", ""clear(p4)"": ""false"", ""clear(p5)"": ""true"", ""on(p5, p4)"": ""true"", ""on(p5, t)"": ""false"", ""on(p1, t)"": ""true"", ""on(p4, t)"": ""true"", ""on(p1, p1)"": ""false"", ""on(p3, p1)"": ""false"", ""on(p4, p1)"": ""false"", ""on(p5, p1)"": ""false"", ""on(p1, p2)"": ""false"", ""on(p2, p2)"": ""false"", ""on(p4, p2)"": ""false"", ""on(p5, p2)"": ""false"", ""on(p1, p3)"": ""false"", ""on(p2, p3)"": ""false"", ""on(p3, p3)"": ""false"", ""on(p4, p3)"": ""false"", ""on(p5, p3)"": ""false"", ""on(p1, p4)"": ""false"", ""on(p2, p4)"": ""false"", ""on(p3, p4)"": ""false"", ""on(p4, p4)"": ""false"", ""on(p1, p5)"": ""false"", ""on(p2, p5)"": ""false"", ""on(p3, p5)"": ""false"", ""on(p4, p5)"": ""false"", ""on(p5, p5)"": ""false"", ""holding(p1)"": ""false"", ""holding(p4)"": ""false""}";stack;"[""p4"", ""p5""]";False;None
"{""holding(p5)"": ""true"", ""clear(p4)"": ""true"", ""clear(p5)"": ""false"", ""robot-empty"": ""false"", ""on(p5, p4)"": ""false"", ""holding(p3)"": ""false"", ""clear(p2)"": ""false"", ""clear(p3)"": ""true"", ""on(p3, p2)"": ""true"", ""on(p3, t)"": ""false"", ""holding(p2)"": ""false"", ""clear(p1)"": ""false"", ""on(p2, p1)"": ""true"", ""on(p2, t)"": ""false"", ""on(p5, t)"": ""false"", ""on(p1, t)"": ""true"", ""on(p4, t)"": ""true"", ""on(p1, p1)"": ""false"", ""on(p3, p1)"": ""false"", ""on(p4, p1)"": ""false"", ""on(p5, p1)"": ""false"", ""on(p1, p2)"": ""false"", ""on(p2, p2)"": ""false"", ""on(p4, p2)"": ""false"", ""on(p5, p2)"": ""false"", ""on(p1, p3)"": ""false"", ""on(p2, p3)"": ""false"", ""on(p3, p3)"": ""false"", ""on(p4, p3)"": ""false"", ""on(p5, p3)"": ""false"", ""on(p1, p4)"": ""false"", ""on(p2, p4)"": ""false"", ""on(p3, p4)"": ""false"", ""on(p4, p4)"": ""false"", ""on(p1, p5)"": ""false"", ""on(p2, p5)"": ""false"", ""on(p3, p5)"": ""false"", ""on(p4, p5)"": ""false"", ""on(p5, p5)"": ""false"", ""holding(p1)"": ""false"", ""holding(p4)"": ""false""}";put-down;"[""p5"", ""t""]";True;"{""holding(p5)"": ""false"", ""clear(p5)"": ""true"", ""robot-empty"": ""true"", ""on(p5, t)"": ""true"", ""clear(p4)"": ""true"", ""on(p5, p4)"": ""false"", ""holding(p3)"": ""false"", ""clear(p2)"": ""false"", ""clear(p3)"": ""true"", ""on(p3, p2)"": ""true"", ""on(p3, t)"": ""false"", ""holding(p2)"": ""false"", ""clear(p1)"": ""false"", ""on(p2, p1)"": ""true"", ""on(p2, t)"": ""false"", ""on(p1, t)"": ""true"", ""on(p4, t)"": ""true"", ""on(p1, p1)"": ""false"", ""on(p3, p1)"": ""false"", ""on(p4, p1)"": ""false"", ""on(p5, p1)"": ""false"", ""on(p1, p2)"": ""false"", ""on(p2, p2)"": ""false"", ""on(p4, p2)"": ""false"", ""on(p5, p2)"": ""false"", ""on(p1, p3)"": ""false"", ""on(p2, p3)"": ""false"", ""on(p3, p3)"": ""false"", ""on(p4, p3)"": ""false"", ""on(p5, p3)"": ""false"", ""on(p1, p4)"": ""false"", ""on(p2, p4)"": ""false"", ""on(p3, p4)"": ""false"", ""on(p4, p4)"": ""false"", ""on(p1, p5)"": ""false"", ""on(p2, p5)"": ""false"", ""on(p3, p5)"": ""false"", ""on(p4, p5)"": ""false"", ""on(p5, p5)"": ""false"", ""holding(p1)"": ""false"", ""holding(p4)"": ""false""}"
"{""holding(p5)"": ""true"", ""clear(p4)"": ""true"", ""clear(p5)"": ""false"", ""robot-empty"": ""false"", ""on(p5, p4)"": ""false"", ""holding(p3)"": ""false"", ""clear(p2)"": ""false"", ""clear(p3)"": ""true"", ""on(p3, p2)"": ""true"", ""on(p3, t)"": ""false"", ""holding(p2)"": ""false"", ""clear(p1)"": ""false"", ""on(p2, p1)"": ""true"", ""on(p2, t)"": ""false"", ""on(p5, t)"": ""false"", ""on(p1, t)"": ""true"", ""on(p4, t)"": ""true"", ""on(p1, p1)"": ""false"", ""on(p3, p1)"": ""false"", ""on(p4, p1)"": ""false"", ""on(p5, p1)"": ""false"", ""on(p1, p2)"": ""false"", ""on(p2, p2)"": ""false"", ""on(p4, p2)"": ""false"", ""on(p5, p2)"": ""false"", ""on(p1, p3)"": ""false"", ""on(p2, p3)"": ""false"", ""on(p3, p3)"": ""false"", ""on(p4, p3)"": ""false"", ""on(p5, p3)"": ""false"", ""on(p1, p4)"": ""false"", ""on(p2, p4)"": ""false"", ""on(p3, p4)"": ""false"", ""on(p4, p4)"": ""false"", ""on(p1, p5)"": ""false"", ""on(p2, p5)"": ""false"", ""on(p3, p5)"": ""false"", ""on(p4, p5)"": ""false"", ""on(p5, p5)"": ""false"", ""holding(p1)"": ""false"", ""holding(p4)"": ""false""}";unstack;"[""p1"", ""p4""]";False;None
"{""holding(p5)"": ""true"", ""clear(p4)"": ""true"", ""clear(p5)"": ""false"", ""robot-empty"": ""false"", ""on(p5, p4)"": ""false"", ""holding(p3)"": ""false"", ""clear(p2)"": ""false"", ""clear(p3)"": ""true"", ""on(p3, p2)"": ""true"", ""on(p3, t)"": ""false"", ""holding(p2)"": ""false"", ""clear(p1)"": ""false"", ""on(p2, p1)"": ""true"", ""on(p2, t)"": ""false"", ""on(p5, t)"": ""false"", ""on(p1, t)"": ""true"", ""on(p4, t)"": ""true"", ""on(p1, p1)"": ""false"", ""on(p3, p1)"": ""false"", ""on(p4, p1)"": ""false"", ""on(p5, p1)"": ""false"", ""on(p1, p2)"": ""false"", ""on(p2, p2)"": ""false"", ""on(p4, p2)"": ""false"", ""on(p5, p2)"": ""false"", ""on(p1, p3)"": ""false"", ""on(p2, p3)"": ""false"", ""on(p3, p3)"": ""false"", ""on(p4, p3)"": ""false"", ""on(p5, p3)"": ""false"", ""on(p1, p4)"": ""false"", ""on(p2, p4)"": ""false"", ""on(p3, p4)"": ""false"", ""on(p4, p4)"": ""false"", ""on(p1, p5)"": ""false"", ""on(p2, p5)"": ""false"", ""on(p3, p5)"": ""false"", ""on(p4, p5)"": ""false"", ""on(p5, p5)"": ""false"", ""holding(p1)"": ""false"", ""holding(p4)"": ""false""}";pick-up;"[""p2"", ""t""]";False;None
"{""holding(p5)"": ""false"", ""clear(p5)"": ""true"", ""robot-empty"": ""true"", ""on(p5, t)"": ""true"", ""clear(p4)"": ""true"", ""on(p5, p4)"": ""false"", ""holding(p3)"": ""false"", ""clear(p2)"": ""false"", ""clear(p3)"": ""true"", ""on(p3, p2)"": ""true"", ""on(p3, t)"": ""false"", ""holding(p2)"": ""false"", ""clear(p1)"": ""false"", ""on(p2, p1)"": ""true"", ""on(p2, t)"": ""false"", ""on(p1, t)"": ""true"", ""on(p4, t)"": ""true"", ""on(p1, p1)"": ""false"", ""on(p3, p1)"": ""false"", ""on(p4, p1)"": ""false"", ""on(p5, p1)"": ""false"", ""on(p1, p2)"": ""false"", ""on(p2, p2)"": ""false"", ""on(p4, p2)"": ""false"", ""on(p5, p2)"": ""false"", ""on(p1, p3)"": ""false"", ""on(p2, p3)"": ""false"", ""on(p3, p3)"": ""false"", ""on(p4, p3)"": ""false"", ""on(p5, p3)"": ""false"", ""on(p1, p4)"": ""false"", ""on(p2, p4)"": ""false"", ""on(p3, p4)"": ""false"", ""on(p4, p4)"": ""false"", ""on(p1, p5)"": ""false"", ""on(p2, p5)"": ""false"", ""on(p3, p5)"": ""false"", ""on(p4, p5)"": ""false"", ""on(p5, p5)"": ""false"", ""holding(p1)"": ""false"", ""holding(p4)"": ""false""}";pick-up;"[""p4"", ""t""]";True;"{""on(p4, t)"": ""false"", ""clear(p4)"": ""false"", ""robot-empty"": ""false"", ""holding(p4)"": ""true"", ""holding(p5)"": ""false"", ""clear(p5)"": ""true"", ""on(p5, t)"": ""true"", ""on(p5, p4)"": ""false"", ""holding(p3)"": ""false"", ""clear(p2)"": ""false"", ""clear(p3)"": ""true"", ""on(p3, p2)"": ""true"", ""on(p3, t)"": ""false"", ""holding(p2)"": ""false"", ""clear(p1)"": ""false"", ""on(p2, p1)"": ""true"", ""on(p2, t)"": ""false"", ""on(p1, t)"": ""true"", ""on(p1, p1)"": ""false"", ""on(p3, p1)"": ""false"", ""on(p4, p1)"": ""false"", ""on(p5, p1)"": ""false"", ""on(p1, p2)"": ""false"", ""on(p2, p2)"": ""false"", ""on(p4, p2)"": ""false"", ""on(p5, p2)"": ""false"", ""on(p1, p3)"": ""false"", ""on(p2, p3)"": ""false"", ""on(p3, p3)"": ""false"", ""on(p4, p3)"": ""false"", ""on(p5, p3)"": ""false"", ""on(p1, p4)"": ""false"", ""on(p2, p4)"": ""false"", ""on(p3, p4)"": ""false"", ""on(p4, p4)"": ""false"", ""on(p1, p5)"": ""false"", ""on(p2, p5)"": ""false"", ""on(p3, p5)"": ""false"", ""on(p4, p5)"": ""false"", ""on(p5, p5)"": ""false"", ""holding(p1)"": ""false""}"
